[2026-05-20 16:40:42.685661] ZERO_DAY | SRC=172.217.170.195 ANOMALY max_z=6.97 [unique_dports=5.0(z=5.04), avg_pkt_size=745.3(z=5.61), dst_entropy=2.3(z=6.97)]
[2026-05-20 16:40:50.935199] ZERO_DAY | SRC=47.246.7.199 ANOMALY max_z=6.97 [unique_dports=5.0(z=5.04), avg_pkt_size=571.5(z=4.24), dst_entropy=2.3(z=6.97)]
[2026-05-20 16:40:51.585875] PORT_SCAN | SRC=172.217.170.195 DST=172.20.10.2 PORTS=35
[2026-05-20 16:41:04.278540] ZERO_DAY | SRC=172.20.10.2 ANOMALY max_z=14.0 [pkt_count=142.0(z=11.2), byte_count=44899.0(z=11.05), unique_dsts=21.0(z=14.0), unique_dports=5.0(z=5.04)]
[2026-05-20 16:41:06.036024] PORT_SCAN | SRC=57.144.139.32 DST=172.20.10.2 PORTS=20
[2026-05-20 16:41:12.715824] ZERO_DAY | SRC=160.79.104.10 ANOMALY max_z=5.98 [unique_dports=4.0(z=3.98), avg_pkt_size=634.2(z=4.73), dst_entropy=2.0(z=5.98)]
[2026-05-20 16:41:16.565762] PORT_SCAN | SRC=57.144.139.32 DST=172.20.10.2 PORTS=21
[2026-05-20 16:41:27.114319] PORT_SCAN | SRC=57.144.139.32 DST=172.20.10.2 PORTS=24
[2026-05-20 16:41:27.207086] PORT_SCAN | SRC=57.144.138.145 DST=172.20.10.2 PORTS=20
[2026-05-20 16:41:32.738461] ZERO_DAY | SRC=57.144.138.145 ANOMALY max_z=10.34 [unique_dports=10.0(z=10.34), syn_count=12.0(z=3.06), avg_pkt_size=484.6(z=3.55), dst_entropy=3.3(z=10.05)]
[2026-05-20 16:41:33.762975] PORT_SCAN | SRC=172.217.170.195 DST=172.20.10.2 PORTS=36
[2026-05-20 16:41:34.520225] ZERO_DAY | SRC=172.20.10.2 ANOMALY max_z=29.53 [pkt_count=226.0(z=17.87), byte_count=59947.0(z=14.77), unique_dsts=22.0(z=14.67), unique_dports=4.0(z=3.98)]
[2026-05-20 16:41:42.747427] ZERO_DAY | SRC=57.144.139.32 ANOMALY max_z=6.97 [unique_dports=5.0(z=5.04), avg_pkt_size=634.7(z=4.74), dst_entropy=2.3(z=6.97)]
[2026-05-20 16:41:49.740425] PORT_SCAN | SRC=172.217.170.195 DST=172.20.10.2 PORTS=43
[2026-05-20 16:41:52.756276] ZERO_DAY | SRC=172.217.170.195 ANOMALY max_z=5.98 [unique_dports=4.0(z=3.98), avg_pkt_size=780.6(z=5.89), dst_entropy=2.0(z=5.98)]
[2026-05-20 16:41:52.770436] ZERO_DAY | SRC=216.239.32.116 ANOMALY max_z=5.98 [unique_dports=4.0(z=3.98), udp_count=11.0(z=5.77), avg_pkt_size=574.1(z=4.26), dst_entropy=2.0(z=5.98)]
[2026-05-20 16:42:00.890534] PORT_SCAN | SRC=172.217.170.195 DST=172.20.10.2 PORTS=45
